Store ID,Country,City,Latitude,Longitude,Brand Owner,Brand Owner Origin,Address,Company Name,Fascia,Floorspace,Format,Price Range
recCM6xeOpZxeZ2G0,Nigeria,Lagos,6.448063,3.531438, Atlantic Shopping & Entertainment Centre,Nigeria,"2 Chevron Drive, Lekki Phase 1, Lekki, Nigeria", Atlantic Shopping & Entertainment Centre, Atlantic Shopping & Entertainment Centre,350,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
receBU7NIWj1CCSdi,Nigeria,Lagos,6.457562,3.416312,3mat Ventures,Nigeria,"Association Road, Dolphin Estate, Lagos, Nigeria",3mat Ventures,3mat Ventures,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
rec2UEgpB3dRPnjQW,Nigeria,Lagos,6.546938,3.377438,6to9 Supermarket,Nigeria,"Phase 1, 52 Oguntona Cresent, Gbagada, Lagos, Nigeria",6to9 Supermarket,6to9 Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recriuLPPxc3QnOXz,Nigeria,Lagos,6.426081,3.41482,Blowfish Group,Nigeria,"20 Oju Olobun Street off Bishop Oluwole Street, Victoria island",9 To 7,9 To 7,350,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recoqF43xBP17hKGt,Nigeria,Lagos,6.470438,3.283437,234 Stores,Nigeria,"41 Road, D Cl, Festac Town, Lagos, Nigeria",234 Stores,234 Stores,70,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recKtoYRnhbwfHBkU,Nigeria,Lagos,6.492938,3.582063,234 Stores,Nigeria,"106 Addo Rd, Aja, Lagos, Nigeria",234 Stores,234 Stores,80,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recFSlXEBp6WwqBJY,Nigeria,Lagos,6.586063,3.383938,234 Stores,Nigeria,"58 Ogudu Rd, Ojota 100001, Lagos, Nigeria",234 Stores,234 Stores,60,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recmxvRnlzPQm1vQe,Nigeria,Lagos,6.455687,3.599812,478 Limited,Nigeria,"The Invent Km 29 Lekki-Epe Expressway, Lagos.",478 Limited,478 Limited,800,Cash & Carry,Mid-level
recAb2MHDglXtVYqf,Nigeria,Lagos,6.473062,3.628312,Abiitos international,Nigeria,"Abiitos House, Lekki Epe Road Sangotedo, Lekki, Nigeria",Abiitos international,Abiitos international,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recQOUoAgNU5TSQJE,Nigeria,Lagos,6.4906244,3.337224,Addide,Nigeria,"74, Adetola Street, Aguda-Surulere",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recQPg3q8S6dY9SDm,Nigeria,Lagos,6.4957417,3.3257835,Addide,Nigeria,"282, Ijesa Road, Lawanson - Surulere",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recRRArzlUDdUfK9j,Nigeria,Lagos,6.5047879,3.3875562,Addide,Nigeria,"24, Iwaya Road, Onike-Yaba",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recRDZCZm5UXYoLwx,Nigeria,Lagos,6.5111014,3.3382375,Addide,Nigeria,"125, Itire Road Junction, Surulere",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recS1JGr1bKzEJFFz,Nigeria,Lagos,6.511832,3.3217657,Addide,Nigeria,"117, Okota Road, Isolo",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recS3M09zoIAIFQ5a,Nigeria,Lagos,6.5220208,3.3475386,Addide,Nigeria,"84, Itire Road, Morgan Bustop, Mushin",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recS6KEgSxQnL2qj6,Nigeria,Lagos,6.5289274,3.3870355,Addide,Nigeria,"77, St. Finbarr's College Road, Akoka",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recSyLUugUGPKUJNF,Nigeria,Lagos,6.5326835,3.3495953,Addide,Nigeria,"49, Ladipo Road, Mushin",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recSCUAPU07Gu5bIW,Nigeria,Lagos,6.576937,3.272938,Addide,Nigeria,"24 Oko-Oba Road, Power-Line Bus Stop, Lagos, Nigeria",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recTkRU7j2pFwQQOz,Nigeria,Lagos,6.5343667,3.2600116,Addide,Nigeria,"139/141 Ijegun Ikotun Road, Alagbada Bus Stop Mobil Filling Station",Addide,Addide,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
